obstime,bg_mean,bg_std,bg_total,src_error,src_mean,src_net,src_std,src_total,filename
2015-02-11T04:44:05.796066,,,,,,,,,N2784-7/Q1/N2784-7.Q1.I.150211_0444.C.003540.092204N2208.0100.nh.fits.fz
2015-02-13T06:37:57.771907,1.07825665063e-10,8.885629732e-11,2.63094630526e-08,1.23443111288e-09,3.94066157483e-09,7.39737288313e-07,7.79024933451e-09,7.60547663958e-07,N2784-7/Q1/N2784-7.Q1.I.150213_0637.C.004085.092204N2208.0100.nh.fits.fz
2015-02-15T05:36:21.810388,8.34432106744e-11,7.44050654422e-11,2.03601437931e-08,1.03366815107e-09,4.11204270634e-09,7.77519687745e-07,1.03692530118e-08,7.93624224116e-07,N2784-7/Q1/N2784-7.Q1.I.150215_0536.C.004416.092204N2208.0100.nh.fits.fz
2015-02-15T06:56:57.457482,8.95547802582e-11,8.40235311883e-11,2.18513669381e-08,1.16729215183e-09,4.0898728848e-09,7.72061355292e-07,9.23013754317e-09,7.89345449448e-07,N2784-7/Q1/N2784-7.Q1.I.150215_0656.C.004440.092204N2208.0100.nh.fits.fz
2015-03-01T00:58:42.414012,2.07039663191e-10,1.45768452864e-10,5.05176771526e-08,2.02508010361e-09,3.80096532027e-09,6.93627669079e-07,4.92788254647e-09,7.33586318802e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0058.C.009052.092205N2208.0060.nh.fits.fz
2015-03-01T01:36:53.684011,1.44128473045e-10,1.26052737692e-10,3.51673463683e-08,1.75118053392e-09,3.99885191626e-09,7.43961663829e-07,7.57118900907e-09,7.71778445596e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0136.C.009067.092205N2208.0060.nh.fits.fz
2015-03-01T02:14:49.136010,1.03910186011e-10,1.23040327926e-10,2.53540850537e-08,1.70933078802e-09,4.01259558913e-09,7.54376287659e-07,9.06981867388e-09,7.74430930051e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0214.C.009082.092205N2208.0060.nh.fits.fz
2015-03-01T02:56:54.717996,1.16110912551e-10,1.00106006817e-10,2.83310619409e-08,1.39071709704e-09,4.12358236446e-09,7.73442025093e-07,1.02478638908e-08,7.9585140611e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0256.C.009098.092205N2208.0060.nh.fits.fz
2015-03-01T03:34:22.432012,1.05698033659e-10,1.05301004028e-10,2.57903209899e-08,1.46288825498e-09,4.06787137308e-09,7.64699450428e-07,1.07178124154e-08,7.85099189216e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0334.C.009113.092205N2208.0060.nh.fits.fz
2015-03-01T04:12:29.363020,5.58971965936e-11,9.38087593716e-11,1.36389157745e-08,1.30323285497e-09,4.11750677998e-09,7.83890641287e-07,1.15829941194e-08,7.94678783222e-07,N2784-7/Q1/N2784-7.Q1.I.150301_0412.C.009128.092205N2208.0060.nh.fits.fz
